carrier,flightNumber,origin,destination,date,departure,arrival,price,currency
SkyLine,SL7037,MIA,ATL,2025-12-27,09:00,13:00,144.99,USD
BlueJet,BJ7038,MIA,ATL,2025-12-27,12:00,16:00,154.99,USD
Nimbus,NB7039,MIA,ATL,2025-12-27,15:00,19:00,164.99,USD
GlobeAir,GA7040,MIA,ATL,2025-12-27,18:00,22:00,174.99,USD
ACME Air,AC7041,MIA,ATL,2025-12-28,06:00,10:00,139.99,USD
SkyLine,SL7042,MIA,ATL,2025-12-28,09:00,13:00,149.99,USD
BlueJet,BJ7043,MIA,ATL,2025-12-28,12:00,16:00,159.99,USD
Nimbus,NB7044,MIA,ATL,2025-12-28,15:00,19:00,169.99,USD
GlobeAir,GA7045,MIA,ATL,2025-12-28,18:00,22:00,179.99,USD
ACME Air,AC7046,MIA,ATL,2025-12-29,06:00,10:00,144.99,USD
SkyLine,SL7047,MIA,ATL,2025-12-29,09:00,13:00,154.99,USD
BlueJet,BJ7048,MIA,ATL,2025-12-29,12:00,16:00,164.99,USD
Nimbus,NB7049,MIA,ATL,2025-12-29,15:00,19:00,174.99,USD
GlobeAir,GA7050,MIA,ATL,2025-12-29,18:00,22:00,184.99,USD
ACME Air,AC8001,ATL,MIA,2025-12-20,06:00,10:00,104.99,USD
SkyLine,SL8002,ATL,MIA,2025-12-20,09:00,13:00,114.99,USD
BlueJet,BJ8003,ATL,MIA,2025-12-20,12:00,16:00,124.99,USD
Nimbus,NB8004,ATL,MIA,2025-12-20,15:00,19:00,134.99,USD
GlobeAir,GA8005,ATL,MIA,2025-12-20,18:00,22:00,144.99,USD
ACME Air,AC8006,ATL,MIA,2025-12-21,06:00,10:00,109.99,USD
SkyLine,SL8007,ATL,MIA,2025-12-21,09:00,13:00,119.99,USD
BlueJet,BJ8008,ATL,MIA,2025-12-21,12:00,16:00,129.99,USD
Nimbus,NB8009,ATL,MIA,2025-12-21,15:00,19:00,139.99,USD
GlobeAir,GA8010,ATL,MIA,2025-12-21,18:00,22:00,149.99,USD
ACME Air,AC8011,ATL,MIA,2025-12-22,06:00,10:00,114.99,USD
SkyLine,SL8012,ATL,MIA,2025-12-22,09:00,13:00,124.99,USD
BlueJet,BJ8013,ATL,MIA,2025-12-22,12:00,16:00,134.99,USD
Nimbus,NB8014,ATL,MIA,2025-12-22,15:00,19:00,144.99,USD
GlobeAir,GA8015,ATL,MIA,2025-12-22,18:00,22:00,154.99,USD
ACME Air,AC8016,ATL,MIA,2025-12-23,06:00,10:00,119.99,USD
SkyLine,SL8017,ATL,MIA,2025-12-23,09:00,13:00,129.99,USD
BlueJet,BJ8018,ATL,MIA,2025-12-23,12:00,16:00,139.99,USD
Nimbus,NB8019,ATL,MIA,2025-12-23,15:00,19:00,149.99,USD
GlobeAir,GA8020,ATL,MIA,2025-12-23,18:00,22:00,159.99,USD
ACME Air,AC8021,ATL,MIA,2025-12-24,06:00,10:00,124.99,USD
SkyLine,SL8022,ATL,MIA,2025-12-24,09:00,13:00,134.99,USD
BlueJet,BJ8023,ATL,MIA,2025-12-24,12:00,16:00,144.99,USD
Nimbus,NB8024,ATL,MIA,2025-12-24,15:00,19:00,154.99,USD
GlobeAir,GA8025,ATL,MIA,2025-12-24,18:00,22:00,164.99,USD
ACME Air,AC8026,ATL,MIA,2025-12-25,06:00,10:00,129.99,USD
SkyLine,SL8027,ATL,MIA,2025-12-25,09:00,13:00,139.99,USD
BlueJet,BJ8028,ATL,MIA,2025-12-25,12:00,16:00,149.99,USD
Nimbus,NB8029,ATL,MIA,2025-12-25,15:00,19:00,159.99,USD
GlobeAir,GA8030,ATL,MIA,2025-12-25,18:00,22:00,169.99,USD
ACME Air,AC8031,ATL,MIA,2025-12-26,06:00,10:00,134.99,USD
SkyLine,SL8032,ATL,MIA,2025-12-26,09:00,13:00,144.99,USD
BlueJet,BJ8033,ATL,MIA,2025-12-26,12:00,16:00,154.99,USD
Nimbus,NB8034,ATL,MIA,2025-12-26,15:00,19:00,164.99,USD
GlobeAir,GA8035,ATL,MIA,2025-12-26,18:00,22:00,174.99,USD
ACME Air,AC8036,ATL,MIA,2025-12-27,06:00,10:00,139.99,USD
SkyLine,SL8037,ATL,MIA,2025-12-27,09:00,13:00,149.99,USD
BlueJet,BJ8038,ATL,MIA,2025-12-27,12:00,16:00,159.99,USD
Nimbus,NB8039,ATL,MIA,2025-12-27,15:00,19:00,169.99,USD
GlobeAir,GA8040,ATL,MIA,2025-12-27,18:00,22:00,179.99,USD
ACME Air,AC8041,ATL,MIA,2025-12-28,06:00,10:00,144.99,USD
SkyLine,SL8042,ATL,MIA,2025-12-28,09:00,13:00,154.99,USD
BlueJet,BJ8043,ATL,MIA,2025-12-28,12:00,16:00,164.99,USD
Nimbus,NB8044,ATL,MIA,2025-12-28,15:00,19:00,174.99,USD
GlobeAir,GA8045,ATL,MIA,2025-12-28,18:00,22:00,184.99,USD
ACME Air,AC8046,ATL,MIA,2025-12-29,06:00,10:00,149.99,USD
SkyLine,SL8047,ATL,MIA,2025-12-29,09:00,13:00,159.99,USD
BlueJet,BJ8048,ATL,MIA,2025-12-29,12:00,16:00,169.99,USD
Nimbus,NB8049,ATL,MIA,2025-12-29,15:00,19:00,179.99,USD
GlobeAir,GA8050,ATL,MIA,2025-12-29,18:00,22:00,189.99,USD
